date,title,info1,info2,notice
2025-06-19,오류 수정,<nbsp><nbsp><nbsp><nbsp><nbsp>광고 오류 수정,오류 수정,<nbsp><nbsp><nbsp><nbsp><nbsp>보상형 광고의 오류 수정된 버전이 구글 스토어에 등록되었습니다.
2025-06-01,My Star,<nbsp><nbsp><nbsp><nbsp><nbsp>게임 업데이트 계획,적 비행선 업데이트,<nbsp><nbsp><nbsp><nbsp><nbsp>현재 적 비행선의 수량을 늘리는 것과 적 비행선의 다양한 공격 방법을 진행 중입니다.
